Date,Close/Last,Volume,Open,High,Low
05/04/2020,$12.0802,3840670,$12.1504,$12.1952,$11.9654
05/01/2020,$12.2342,3126615,$12.3318,$12.4068,$12.1231
04/30/2020,$12.5307,5545505,$12.5131,$12.5677,$12.3649
04/29/2020,$12.5951,5968315,$12.5619,$12.6477,$12.4488
04/28/2020,$12.2713,4860685,$12.4585,$12.4897,$12.2654
04/27/2020,$12.3747,6166285,$12.3864,$12.4566,$12.3298
04/24/2020,$12.2791,5790730,$12.324,$12.324,$12.1406
04/23/2020,$12.1036,4927285,$12.3708,$12.3844,$12.0841
04/22/2020,$12.2245,4186865,$12.2264,$12.283,$12.1835
04/21/2020,$12.1016,11018485,$12.1328,$12.2186,$11.9768
04/20/2020,$12.3942,12186180,$12.402,$12.5658,$12.3259
04/17/2020,$12.5677,15911485,$12.5092,$12.5677,$12.3825
04/16/2020,$12.1387,13702845,$12.1738,$12.1835,$12.0119
04/15/2020,$12.1055,11036635,$12.1309,$12.1309,$11.9427
04/14/2020,$11.9807,8814160,$12.0529,$12.1016,$11.8773
04/13/2020,$11.7194,7758590,$11.8968,$11.9124,$11.6062
04/09/2020,$12.01,5696780,$12.1367,$12.1796,$11.8968
04/08/2020,$12.1133,5562925,$11.9124,$12.164,$11.8422
04/07/2020,$11.8305,6735720,$12.2381,$12.2674,$11.7915
04/06/2020,$11.8715,5984165,$11.6687,$11.9417,$11.5653
04/03/2020,$11.2103,3339045,$11.3118,$11.4151,$11.0719
04/02/2020,$11.4892,5539470,$11.3839,$11.5653,$11.2932
04/01/2020,$11.0875,5554460,$11.2981,$11.3956,$11.0475
03/31/2020,$11.5419,5289395,$11.5594,$11.7993,$11.4307
03/30/2020,$11.735,6075785,$11.6901,$11.7896,$11.534
03/27/2020,$11.5692,9718925,$11.6238,$11.8188,$11.4522
03/26/2020,$11.7993,7328005,$11.4405,$11.8013,$11.3118
03/25/2020,$11.2493,6125125,$11.3859,$11.5711,$10.9841
03/24/2020,$11.1167,11409975,$10.9802,$11.1167,$10.8359
03/23/2020,$10.3171,7963305,$10.5199,$10.6096,$10.0597
03/20/2020,$10.3483,8065280,$11.0153,$11.0972,$10.3015
03/19/2020,$10.8047,11914545,$10.6994,$10.9295,$10.4536
